"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","","Average market income","All family units","Dollars","81","units ","0","v92044762","1.1.1","68300","A","","","0"
"2012","Canada","","Average market income","Economic families, two persons or more","Dollars","81","units ","0","v92044763","1.1.2","88100","A","","","0"
"2012","Canada","","Average market income","Elderly families","Dollars","81","units ","0","v92044764","1.1.3","48400","C","","","0"
"2012","Canada","","Average market income","Elderly married couples","Dollars","81","units ","0","v92044765","1.1.4","45600","C","","","0"
"2012","Canada","","Average market income","Other elderly families","Dollars","81","units ","0","v92044766","1.1.5","58300","D","","","0"
"2012","Canada","","Average market income","Non-elderly families","Dollars","81","units ","0","v92044767","1.1.6","96600","A","","","0"
"2012","Canada","","Average market income","Married couples","Dollars","81","units ","0","v92044768","1.1.7","90600","A","","","0"
"2012","Canada","","Average market income","Two-parent families with children","Dollars","81","units ","0","v92044769","1.1.11","107100","A","","","0"
"2012","Canada","","Average market income","Married couples with other relatives","Dollars","81","units ","0","v92044770","1.1.16","134100","B","","","0"
"2012","Canada","","Average market income","Lone-parent families","Dollars","81","units ","0","v92044771","1.1.17","41400","C","","","0"
"2012","Canada","","Average market income","Male lone-parent families","Dollars","81","units ","0","v92044772","1.1.18","61500","C","","","0"
"2012","Canada","","Average market income","Female lone-parent families","Dollars","81","units ","0","v92044773","1.1.19","36100","C","","","0"
"2012","Canada","","Average market income","Other non-elderly families","Dollars","81","units ","0","v92044774","1.1.23","71500","B","","","0"
"2012","Canada","","Average market income","Unattached individuals","Dollars","81","units ","0","v92044775","1.1.24","31400","A","","","0"
"2012","Canada","","Average market income","Elderly males","Dollars","81","units ","0","v92044776","1.1.25","23000","D","","","0"
"2012","Canada","","Average market income","Elderly females","Dollars","81","units ","0","v92044777","1.1.28","16500","C","","","0"
"2012","Canada","","Average market income","Non-elderly males","Dollars","81","units ","0","v92044778","1.1.31","38500","B","","","0"
"2012","Canada","","Average market income","Non-elderly females","Dollars","81","units ","0","v92044779","1.1.34","32500","B","","","0"
"2012","Canada","","Median market income","All family units","Dollars","81","units ","0","v92044780","1.8.1","50000","A","","","0"
"2012","Canada","","Median market income","Economic families, two persons or more","Dollars","81","units ","0","v92044781","1.8.2","71900","A","","","0"
"2012","Canada","","Median market income","Elderly families","Dollars","81","units ","0","v92044782","1.8.3","30600","B","","","0"
"2012","Canada","","Median market income","Elderly married couples","Dollars","81","units ","0","v92044783","1.8.4","30500","B","","","0"
"2012","Canada","","Median market income","Other elderly families","Dollars","81","units ","0","v92044784","1.8.5","31300","D","","","0"
"2012","Canada","","Median market income","Non-elderly families","Dollars","81","units ","0","v92044785","1.8.6","82500","A","","","0"
"2012","Canada","","Median market income","Married couples","Dollars","81","units ","0","v92044786","1.8.7","78800","A","","","0"
"2012","Canada","","Median market income","Two-parent families with children","Dollars","81","units ","0","v92044787","1.8.11","91700","A","","","0"
"2012","Canada","","Median market income","Married couples with other relatives","Dollars","81","units ","0","v92044788","1.8.16","122000","B","","","0"
